idx,t_ms,cyl,branch,rpm,advance_deg,period_meas_us,period_used_us
0,8731,R,reattivo,255,5.0,235102,235102
1,8795,L,reattivo,212,5.0,282660,282660
2,8922,R,reattivo,313,5.2,191565,191565
3,8963,L,reattivo,357,5.8,168220,168220
4,9094,R,reattivo,349,5.7,171718,171718
5,9143,L,reattivo,334,5.5,179560,179560
6,9706,R,reattivo,98,5.0,612160,612160
7,9770,L,reattivo,96,5.0,626680,626680
8,10101,R,reattivo,152,5.0,394740,394740
9,10137,L,reattivo,163,5.0,367640,367640
10,10419,R,reattivo,188,5.0,318524,318524
11,10456,L,reattivo,188,5.0,318320,318320
12,10579,R,reattivo,375,6.1,159914,159914
13,10619,L,reattivo,367,6.0,163560,163560
14,10730,R,reattivo,399,6.4,150531,150531
15,10766,L,reattivo,409,6.6,146600,146600
16,10888,R,reattivo,379,6.1,158187,158187
17,10927,L,reattivo,371,6.0,161600,161600
18,11038,R,reattivo,399,6.4,150360,150360
19,11075,L,reattivo,408,6.5,147220,147220
20,11196,R,reattivo,381,6.2,157603,157603
21,11245,L,reattivo,353,5.8,170080,170080
22,12855,R,reattivo,284,5.0,211419,211419
23,12909,L,reattivo,293,5.0,204460,204460
24,13028,R,reattivo,347,5.7,172680,172680
25,13064,L,reattivo,388,6.3,154600,154600
26,13189,R,reattivo,371,6.0,161520,161520
27,13229,L,reattivo,363,5.9,165200,165200
28,13340,R,reattivo,398,6.4,150816,150816
29,13377,L,reattivo,407,6.5,147260,147260
30,13498,R,reattivo,381,6.2,157389,157389
31,13537,L,reattivo,373,6.0,160800,160800
32,13607,R,reattivo,547,8.5,109595,109595
33,13630,L,reattivo,645,9.9,92960,92960
34,13736,R,reattivo,465,7.4,128976,128976
35,13766,L,reattivo,443,7.0,135380,135380
36,13872,R,reattivo,441,7.0,136152,136152
37,13909,L,reattivo,419,6.7,143100,143100
38,14096,R,reattivo,268,5.0,223575,223575
39,14175,L,reattivo,225,5.0,266400,266400
40,14314,R,reattivo,275,5.0,218446,218446
41,14560,L,reattivo,156,5.0,384360,384360
42,14620,R,reattivo,197,5.0,305151,305151
43,14875,R,reattivo,235,5.0,255602,255602
44,14923,L,reattivo,165,5.0,363120,363120
45,15054,R,reattivo,335,5.5,178928,178928
46,15209,R,reattivo,386,6.2,155256,155256
47,15245,L,reattivo,186,5.0,322080,322080
48,15513,R,reattivo,408,6.5,147033,147033
49,15549,L,reattivo,197,5.0,303940,303940
50,15704,L,reattivo,385,6.2,155800,155800
