Change Component Footprint: Designator=Q5 Old Footprint=PRSS0004AE-B_MFG New Footprint=PRSS0004ZG-A_MFG
Change Component Comment : Designator=Q5 Old Comment=RJK6012DPE-00#J3 New Comment=RJK5033DPD-00#J2
Change Managed Component Library Link : Designator=Q5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=54BDAB9A-E3C7-4953-BCE3-436D660DA369 New ItemGUID=E1CD3E3B-F079-4EFF-B075-55D52E85E3FC Old RevisionGUID=15393724-B900-470A-AAA5-37509CCB1EF3 New RevisionGUID=2D52FC76-CA44-4E1D-9C05-1280A68C7E66
Change component parameters: Designator = "Q5" ("Q5"); Footprint = "PRSS0004AE-B_MFG"; UniqueID = "\ZWDRWSAX" ("\ZWDRWSAX")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "TO-252-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "China RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer's Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.renesas.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://octopart.com/cad-content/api/get-model-datasheet/15189/20478159"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Manufacturer's Package Drawing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.renesas.com/en/document/psc/package-drawing-mp-3a-4pin-prss0004zg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "500V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Export Control Classification Number (ECCN) Code"; Value = "EAR99"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Harmonized Tariff Schedule (HTS) Code"; Value = "8541.21.0095"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://octopart.com/cad-content/api/get-model-datasheet/15189/20478159"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "600pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Production"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Lifecycle Status"; Value = "ACTIVE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temperature (Tj)"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "41.7W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MSL"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Family"; Value = "RJK5033DPD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "3.5V"; VariantName = "[No Variations]"
