Change Component Footprint: Designator=R39 Old Footprint=RESC2512(6432)_L New Footprint=FP-PA0603-MFG
Change Component Comment : Designator=R39 Old Comment=Jumper 2512(6432) New Comment=PA0603-R-070RL
Change Managed Component Library Link : Designator=R39 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AD6A4335-9401-49B2-A030-B635CEABD478 New ItemGUID=FEE65DAE-3AF3-4679-942C-E24484E549B4 Old RevisionGUID=4C9DE46B-C5A2-49C5-A105-D5CF2B7616DC New RevisionGUID=A66685F8-3636-4A05-A747-0F7499C763AD
Change component parameters: Designator = "R39" ("R39"); Footprint = "RESC2512(6432)_L"; UniqueID = "\YAIIVGCM" ("\YAIIVGCM")
Change component parameters (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Grade"; Value = "Grade 0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Res"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/NewPortal/_en/search/productDocs.jsp?YageoPartNumber=PA0603-R-070RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Metal Element"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "METAL CURRENT SENSOR-LOW T.C.R C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "RESC16080X45"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "PA0603-R-070RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Res 0 Ohm Jumper 1/10W 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/pa0603-r-070rl-yageo-89174054"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "PA0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "0uO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "PA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0uO"; VariantName = "[No Variations]"
Added Member To Class: ClassName=LV_power Member=Component U6 ISL85009FRZ-T
