Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DC_CDI_Honda_CX500_rev1.3\Project Outputs for DC_CDI_Honda_CX500_rev1.3\Pick Place for dc_cdi_cx500.csv

========================================================================================================================
File Design Information:

Date:       25/10/25
Time:       10:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C2","CAPC1608X90X35LL15T15","94.7840","88.8930","94.7840","88.8930","94.1340","88.8930","BottomLayer","0","06035C104KAT4A"
"C37","CAPC1608X90X35NL15T15","90.6278","69.4200","90.6278","69.4200","91.3778","69.4200","TopLayer","180","0603ZD475MAT2A"
"C25","CAPC2013X152X50NL20T25","105.9560","57.8610","105.9560","57.8610","105.1310","57.8610","BottomLayer","0","0805ZG106ZAT2A"
"D6","WL-SMCW_0805_150080xx75000","90.2970","70.9140","90.2970","70.9140","90.2970","69.8640","BottomLayer","90","150080GS75000"
"D5","WL-SMCW_0805_150080xx75000","88.2430","70.9140","88.2430","70.9140","88.2430","69.8640","BottomLayer","90","150080RS75000"
"J2","PHOE-1755736-2_V","79.2480","31.3918","79.2480","31.3918","81.7880","31.3918","TopLayer","180","1755736"
"J6","PHOENIX_1755749","96.5200","125.2220","87.9000","121.3520","91.4400","125.2220","TopLayer","0","1755749"
"J4","PHOENIX_1755752","98.4510","39.5367","87.2910","35.6667","90.8310","39.5367","TopLayer","0","1755752"
"J3","PHOENIX_1755752","98.4510","31.1467","109.6110","35.0167","106.0710","31.1467","TopLayer","180","1755752"
"T1","74080","74.9300","65.1510","82.5500","72.7710","82.5500","72.7710","TopLayer","270","74080"
"T2","74080","118.3800","65.1510","126.0000","72.7710","126.0000","72.7710","TopLayer","270","74080"
"C17","WCAP-ATG5_D6.3H11","127.1470","96.6500","127.1470","96.6500","128.3970","96.6500","TopLayer","0","860021373001"
"C12","WCAP-ATG5_D6.3H11","66.7410","96.6500","66.7410","96.6500","65.4910","96.6500","TopLayer","180","860021373001"
"U1","FP-RH-8-1-IPC_C","96.5200","86.6140","96.5200","86.6140","98.5708","87.5890","BottomLayer","180","ADP3654ARHZ-RL"
"U7","FP-AMS1117-IPC_C","103.7590","62.8650","103.7590","62.8650","100.4640","60.5750","BottomLayer","0","AMS1117-3.3"
"C4","FP-BFC233820225-MFG","114.5000","108.0000","114.5000","108.0000","128.2500","108.0000","TopLayer","180","BFC233820225"
"C1","FP-BFC233820225-MFG","78.8250","108.0000","78.8250","108.0000","65.0750","108.0000","TopLayer","0","BFC233820225"
