Change Footprint: Cannot match pads with new footprint in component :Q5 Footprint:ONSC-DPAK-3-369C-01_V
Change Component Footprint: Designator=C46 Old Footprint=WCAP-ASLI_D12.5H14 New Footprint=NIC-UCL1V101MNL1GS_L
Change Component Comment : Designator=C46 Old Comment=865080462016 New Comment=UCL1V101MNL1GS
Change Managed Component Library Link : Designator=C46 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=512C0868-1DDF-4448-AD3B-2459F7083D97 New ItemGUID=3E5468F9-665A-40BD-890A-132311458BF4 Old RevisionGUID=9FC5050D-B0E3-4EEB-A467-04303042DD80 New RevisionGUID=963A234E-16E9-4923-8371-51A05A131044
Change component parameters: Designator = "C46" ("C46"); Footprint = "WCAP-ASLI_D12.5H14"; UniqueID = "\PNCXYEOD" ("\PNCXYEOD")
Change component parameters (AddParameter): Name = "Brand"; Value = "Nichicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Diameter"; Value = "8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Height"; Value = "8.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Length"; Value = "10mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/UCL1V101MNL1GS-Nichicon-datasheet-41194108.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "01/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dimensions"; Value = "8mmDia.x10mmLx8.3mmH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor DF"; Value = "0.12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "3uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Life"; Value = "2000h"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nichicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.nichicon.co.jp/english/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Operating Temperature"; Value = "+105C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Operating Temperature"; Value = "-55C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55Cto+105C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 8.3 x 8.3 mm, Height 10.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "UCL1V101MNL1GS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "LowImpedanceElectrolyticCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "AluminumElectrolyticCapacitors-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = "850mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "CL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "AluminumElectrolyticCapacitors,ChipType,LowImpedance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating DC"; Value = "35V"; VariantName = "[No Variations]"
