Altium Designer Pick and Place Locations
C:\Users\Andrea\Documents\Progetti Elettronica\2025\DC_CDI_Honda_CX500\Progetto\DC_CDI_Honda_CX500_rev2.2\Project Outputs for DC_CDI_Honda_CX500_rev2.2\Pick Place for dc_cdi_cx500.csv

========================================================================================================================
File Design Information:

Date:       10/09/26
Time:       22:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"D8","-6.6040","-11.5090","BottomLayer","90"
"D7","-8.6580","-11.5090","BottomLayer","90"
"T1","-20.3204","-16.9441","TopLayer","0"
"T2","19.1170","-17.0180","TopLayer","0"
"C38","-27.5471","13.1781","TopLayer","180"
"C44","27.0550","13.2080","TopLayer","0"
"Q5","18.6690","28.9630","BottomLayer","0"
"U2","15.6210","7.8740","TopLayer","180"
"U1","-16.6370","4.4450","TopLayer","0"
"Q6","11.0580","38.5420","BottomLayer","0"
"U3","-0.5080","13.9700","BottomLayer","90"
"U6","23.3661","-33.2343","TopLayer","0"
"U5","-22.2988","-32.8247","TopLayer","180"
"R40","-6.6040","-8.6360","BottomLayer","270"
"R39","-8.6360","-8.6360","BottomLayer","270"
"U7","-14.0970","14.3510","BottomLayer","180"
"U9","0.0000","-5.0550","BottomLayer","180"
"Q4","17.5260","-12.7000","BottomLayer","90"
"Q3","-19.1770","-23.7490","BottomLayer","270"
"J2","-0.0470","34.4290","TopLayer","180"
"Y1","5.0960","-3.9780","TopLayer","0"
"C55","-17.1450","18.0340","BottomLayer","90"
"C54","-8.8900","15.6210","BottomLayer","90"
"J1","27.3050","-1.2700","BottomLayer","270"
"C17","23.9938","36.0850","TopLayer","270"
"C16","-24.9599","36.0850","TopLayer","270"
"C50","-12.7280","9.3022","BottomLayer","270"
"C49","-10.1591","9.4643","BottomLayer","270"
"C21","20.3066","19.8708","BottomLayer","270"
"C20","18.0466","19.8708","BottomLayer","270"
"C19","24.2290","23.1531","BottomLayer","0"
"C18","24.2290","25.4131","BottomLayer","0"
"U8","6.8580","-15.0580","BottomLayer","0"
"Q8","13.0221","-33.1124","TopLayer","90"
"Q7","-13.6837","-31.8651","TopLayer","270"
"Q2","27.0607","6.1199","TopLayer","270"
"Q1","-27.4040","6.2445","TopLayer","90"
"D4","26.9240","13.7160","BottomLayer","180"
"D2","-27.3050","13.2080","BottomLayer","0"
"D9","-29.9836","-0.5969","TopLayer","0"
"D12","27.8140","-0.3810","TopLayer","180"
"D13","23.5148","-30.0730","BottomLayer","0"
"D10","-19.0330","-26.6551","BottomLayer","0"
"D11","-14.8532","-1.4315","BottomLayer","270"
"D14","14.9860","11.6840","BottomLayer","90"
"D6","19.5580","-17.7800","BottomLayer","180"
"D5","-22.3520","-25.6540","BottomLayer","0"
"D3","-18.0760","9.7960","TopLayer","0"
"D1","15.6890","2.6670","TopLayer","0"
"C51","11.9552","-16.3320","BottomLayer","90"
"C23","-3.0480","-12.3190","TopLayer","180"
"C6","19.4670","23.4850","TopLayer","0"
"C1","-19.9295","23.4850","TopLayer","180"
"R65","21.5157","-29.9525","TopLayer","0"
"R52","-19.5387","-36.6998","TopLayer","180"
"R66","27.0771","-37.2551","TopLayer","90"
"R63","28.7427","-37.2580","TopLayer","270"
"R61","30.7104","-37.2311","TopLayer","90"
"R57","32.3404","-35.1956","TopLayer","90"
"R50","-27.1155","-36.2848","TopLayer","180"
"R49","-22.6246","-0.1549","BottomLayer","180"
"R48","-29.4619","-33.3959","TopLayer","90"
"R44","-31.8916","-32.3846","TopLayer","180"
"R54","-16.2860","-1.4437","BottomLayer","90"
"R53","-25.1021","-37.9230","TopLayer","180"
"R67","16.7640","11.3030","BottomLayer","270"
"R64","19.3040","10.4140","BottomLayer","0"
"R62","22.5170","10.4140","BottomLayer","0"
"R58","25.7810","10.4140","BottomLayer","0"
"R51","-18.7677","-0.1657","BottomLayer","180"
"R45","-26.2007","-0.1549","BottomLayer","180"
"C36","3.9563","-6.9438","TopLayer","270"
"C35","6.4245","-1.4808","TopLayer","180"
"R69","27.7581","-34.6247","TopLayer","0"
