Removed Pin From Net: NetName=NetC37_2 Pin=R43-2
Removed Pin From Net: NetName=NetP4_2 Pin=U2-3
Removed Pin From Net: NetName=NetP4_2 Pin=U4-3
Change Component Footprint: Designator=R32 Old Footprint=RESC0603(1608)_L New Footprint=FP-AC0603-IPC_C
Change Component Footprint: Designator=R43 Old Footprint=RESC0603(1608)_L New Footprint=FP-AC0603-IPC_C
Change Component Comment : Designator=R32 Old Comment=10M 5% 0603(1608) New Comment=AC0603FR-0710ML
Change Component Comment : Designator=R43 Old Comment=10M 5% 0603(1608) New Comment=AC0603FR-0710ML
Change Component Comment : Designator=Q3 Old Comment=IPD035N06L3 G New Comment=IPD600N25N3
Change Managed Component Library Link : Designator=R32 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B909351A-DC35-4ECB-8FC0-8F431E21A450 New ItemGUID=8A4D33A6-2F88-4E9E-B6E6-81BBB38C0687 Old RevisionGUID=D5BF77BC-4C31-47DE-9CE4-9D431B441D8D New RevisionGUID=403EF818-612A-4407-8259-E90E80747379
Change Managed Component Library Link : Designator=R43 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B909351A-DC35-4ECB-8FC0-8F431E21A450 New ItemGUID=8A4D33A6-2F88-4E9E-B6E6-81BBB38C0687 Old RevisionGUID=D5BF77BC-4C31-47DE-9CE4-9D431B441D8D New RevisionGUID=403EF818-612A-4407-8259-E90E80747379
Change component parameters: Designator = "C25" ("C25"); Footprint = "FP-CGA3E-0_3-0_1-IPC_A"; UniqueID = "\WKOWJITI" ("\WKOWJITI")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
